Tratamento,Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,FCnt,DCnt,Fo,Fm,Fo',Fm',Fs,Fv/Fm,Fv'/Fm',PhiPS2,Adark,RedAbs,BlueAbs,%Blue,LeafAbs,PhiCO2,qP,qN,NPQ,ParIn@Fs,PS2/1,ETR,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs,Fv,PARabs,Fv',qP_Fo,qN_Fo
tr1t1b3,11,08:25:26,"3265,99977491424",0,"-63,1864224827238","0,0332941294582793","4081,92928999522",13,0,"2,86885976791382","4,5647668838501",0,0,0,"0,371521078532248",#DIV/0!,#DIV/0!,-1,"0,87","0,92",0,"0,87","121,394095225004",#DIV/0!,1,#DIV/0!,0,"0,5",#DIV/0!,"0,395922235278167","1,09864611138369","23,8697872161865",2,"4,644859790802",1,"9,289719581604","24,889310836792","23,8697872161865","24,8441925048828","1043,6484375","1085,40063476563","19,565845489502","19,824031829834","58,5226936340332","59,2949485778809","300,615020751953","-0,588814854621887","14,1673927307129","94,4803771972656","-2,02957010269165","-0,40107598900795",0,"-1,355140209198","7,355140209198",1,0,"0,159999996423721",111105,"1,50307510375977","0,000395922235278167","297,019787216187","298,039310836792","-0,0942103746337357","-0,0239283915670109","2,971628116237","31,4523312077019","11,6282993778679","24,3795490264893","3,06394281615802","0,0331752302384842","1,87298200485332","1,1909608113047","0,0207451685693443","385,662219011315","3,76075815625133","62,1915051504543","1094,5830077751","-0,0359009658596903","1,69590711593628","-0,512268923521042",0,0,"2,69163731961227"
tr3t1b3,12,08:26:48,"3347,49976929743",0,"-19,4248399025585","0,0166264253588044","2884,20675571615",14,0,"2,17255854606628","3,37677884101868",0,0,0,"0,356618052779885",#DIV/0!,#DIV/0!,-1,"0,87","0,92",0,"0,87","65,114458355215",#DIV/0!,1,#DIV/0!,0,"0,5",#DIV/0!,"0,205582716728616","1,1401319892249","24,0686016082764",2,"4,644859790802",1,"9,289719581604","25,0109958648682","24,0686016082764","24,9571628570557","1038,24926757813","1051,03051757813","19,6288356781006","19,7629241943359","58,2864952087402","58,6846618652344","300,577270507813","-0,325242310762405","14,0264778137207","94,4802856445313","-2,02957010269165","-0,40107598900795","0,25","-1,355140209198","7,355140209198",1,0,"0,159999996423721",111105,"1,50288635253906","0,000205582716728616","297,218601608276","298,160995864868","-0,0520387685588276","0,00637861995495751","3,00733871227697","31,8303304415448","12,0674062472089","24,5397987365723","3,09347628028113","0,0165967211096818","1,86720672305207","1,22626955722905","0,0103756153511295","272,500678137949","2,74417032377155","61,1539766691977","1053,85337284713","-0,0112720254715765","1,2042202949524","-0,282960810363292",0,0,"2,80412052111458"
tr5t1b3,13,08:28:39,"3458,49976164755",0,"-113,249355183048","0,0635670880893757","3924,11672845824",15,0,"2,21022939682007","3,94956755638123",0,0,0,"0,440386987874394",#DIV/0!,#DIV/0!,-1,"0,87","0,92",0,"0,87","241,977656307437",#DIV/0!,1,#DIV/0!,0,"0,5",#DIV/0!,"0,768240061671285","1,11965936850451","24,2057247161865",2,"4,644859790802",1,"9,289719581604","25,1639404296875","24,2057247161865","25,1079368591309","1031,02600097656","1105,81616210938","19,7402095794678","20,2410449981689","58,0899772644043","59,5637969970703","300,573822021484","-0,533199012279511","13,9435424804688","94,4875717163086","-2,02957010269165","-0,40107598900795",0,"-1,355140209198","7,355140209198",1,0,"0,159999996423721",111105,"1,50286911010742","0,000768240061671285","297,355724716187","298,313940429688","-0,0853118400578534","-0,0921946252540403","3,03218655938202","32,090850725701","11,8498057275321","24,684832572937","3,12041971638316","0,0631350715340342","1,91252719087751","1,20789252550565","0,039498007606135","370,780260803364","3,54861582143352","62,3397322950738","1122,2737772348","-0,0629074173157292","1,73933815956116","-0,463883140683175",0,0,"2,2707301249446"
tr6t1b4,14,08:30:21,"3561,499754549",0,"-72,1257845968587","0,0580149006142251","3031,42495243333",16,0,"1,606689453125","3,84720277786255",0,0,0,"0,582374637913509",#DIV/0!,#DIV/0!,-1,"0,87","0,92",0,"0,87","231,578631240234",#DIV/0!,1,#DIV/0!,0,"0,5",#DIV/0!,"0,712071662069719","1,13616537762666","24,3497982025147",2,"4,644859790802",1,"9,289719581604","25,294548034668","24,3497982025147","25,2364768981934","1024,64587402344","1072,13134765625","19,8814716339111","20,3456535339355","58,0499382019043","59,4052619934082","300,564971923828","-0,353028148412704","13,9336500167847","94,4831619262695","-2,02957010269165","-0,40107598900795",0,"-1,355140209198","7,355140209198",1,0,"0,159999996423721",111105,"1,50282485961914","0,000712071662069719","297,499798202515","298,444548034668","-0,0564845024835055","-0,0827223077264572","3,05848705496927","32,3707102156041","12,0250566816686","24,8221731185914","3,14612279093364","0,0576548423883864","1,92232167734261","1,22380111359104","0,0360664534131412","286,418614648092","2,82747534531121","62,0831786631256","1082,61280604156","-0,0413610290434067","2,24051332473755","-0,307134489119053",0,0,"1,71710774284871"
tr1t1b4,15,08:31:34,"3634,499749518",0,"-32,8298314914085","0,0452067897442251","2175,15356118317",17,0,"2,32528066635132","4,45706605911255",0,0,0,"0,478293425425624",#DIV/0!,#DIV/0!,-1,"0,87","0,92",0,"0,87","95,7850743761004",#DIV/0!,1,#DIV/0!,0,"0,5",#DIV/0!,"0,567893497082423","1,16108277921917","24,492223739624",2,"4,644859790802",1,"9,289719581604","25,3959369659424","24,492223739624","25,3333492279053","1019,37414550781","1040,82287597656","19,9889163970947","20,3590488433838","58,0132141113281","59,0874366760254","300,612243652344","-0,381959438323975","13,6768436431885","94,483772277832","-2,02957010269165","-0,40107598900795",0,"-1,355140209198","7,355140209198",1,0,"0,159999996423721",111105,"1,50306121826172","0,000567893497082423","297,642223739624","298,545936965942","-0,0611135087658425","-0,0591333968435385","3,08468251393071","32,6477493390094","12,2887004956256","24,9440803527832","3,16909236031726","0,0449878641996968","1,92359973471153","1,24549262560572","0,0281370025998004","205,516713744146","2,08984027098974","61,5222223610919","1045,59377052554","-0,0193169111181337","2,13178539276123","-0,332304711341858",0,0,"2,09076676960407"
tr3t1b4,16,08:32:28,"3687,99974583089",0,"-107,022440472824","0,0874739288779568","3018,65164692856",18,0,"1,71088862419128","3,09852814674377",0,0,0,"0,44783828218916",#DIV/0!,#DIV/0!,-1,"0,87","0,92",0,"0,87","277,065912011042",#DIV/0!,1,#DIV/0!,0,"0,5",#DIV/0!,"1,07640046402773","1,14216805997907","24,6054992675781",2,"4,644859790802",1,"9,289719581604","25,4679889678955","24,6054992675781","25,4041481018066","1015,60339355469","1086,037109375","20,0791110992432","20,7804527282715","58,0281486511231","60,0550079345703","300,576019287109","-0,439840734004974","13,9424381256104","94,4872741699219","-2,02957010269165","-0,40107598900795",0,"-1,355140209198","7,355140209198",1,0,"0,159999996423721",111105,"1,50288009643554","0,00107640046402773","297,755499267578","298,617988967896","-0,0703745158678027","-0,150668996488434","3,10565639429036","32,8685150627298","12,0880623344583","25,0367441177368","3,18664982441077","0,0866579397203488","1,96348833431129","1,22316149009948","0,0542339374951183","285,224165786825","2,77951059026496","62,5617828335803","1101,58981722255","-0,0607804699580655","1,38763952255249","-0,382661438584327",0,0,"2,23294890091066"
tr5t1b4,17,08:34:02,"3782,49973931815",0,"-25,0448087343736","0,0386733933999585","2034,19815622957",19,0,"1,68610835075378","3,47056365013123",0,0,0,"0,514168728560842",#DIV/0!,#DIV/0!,-1,"0,87","0,92",0,"0,87","61,1244590273744",#DIV/0!,1,#DIV/0!,0,"0,5",#DIV/0!,"0,499323477570175","1,19215139949474","24,746036529541",2,"4,644859790802",1,"9,289719581604","25,591869354248","24,746036529541","25,5254745483398","1009,74914550781","1026,0703125","20,2033748626709","20,5287494659424","57,959156036377","58,8925857543945","300,621490478516","-0,452154695987701","12,4882516860962","94,4869918823242","-2,02957010269165","-0,40107598900795",0,"-1,355140209198","7,355140209198",1,0,"0,159999996423721",111105,"1,50310745239258","0,000499323477570175","297,896036529541","298,741869354248","-0,0723447497410008","-0,0496361688316541","3,13185118363751","33,1458449596742","12,6170954937318","25,1689529418945","3,21184722507499","0,038513062316022","1,93969978414277","1,27214744093222","0,0240850175286248","192,205264674702","1,98251341204219","61,0470268992102","1029,70987249903","-0,0148479795457562","1,78445529937745","-0,3933745855093",0,0,"1,94488685221872"
tr2t1b4,18,08:35:22,"3862,49973380473",0,"-46,8604665817125","0,058697872542441","2285,32115402901",20,0,"1,96978759765625","3,72928285598755",0,0,0,"0,471805257546057",#DIV/0!,#DIV/0!,-1,"0,87","0,92",0,"0,87","138,838432622263",#DIV/0!,1,#DIV/0!,0,"0,5",#DIV/0!,"0,750279408272309","1,18243641391615","24,8388633728027",2,"4,644859790802",1,"9,289719581604","25,6869049072266","24,8388633728027","25,6199855804443","1004,55285644531","1035,21545410156","20,3274803161621","20,8162994384766","57,9859008789063","59,380298614502","300,586181640625","-0,379672825336456","13,1082191467285","94,484733581543","-2,02957010269165","-0,40107598900795",0,"-1,355140209198","7,355140209198",1,0,"0,159999996423721",111105,"1,50293090820312","0,00075027940827231","297,988863372803","298,836904907227","-0,060747650696017","-0,0936924303938052","3,14925892051423","33,3308758054161","12,5145763669395","25,2628841400147","3,22985499345273","0,0583293138791262","1,96682250659808","1,26303248685465","0,0364887556817094","215,927960386695","2,20758021431625","61,6510090658238","1042,02530765307","-0,0277248069585249","1,7594952583313","-0,330315358042717",0,0,"2,11951855984221"
tr4t1b4,19,08:37:51,"4012,49972346704",0,"-30,5359538158646","0,0186053127506284","3595,93894603296",21,0,"1,62019038200378","3,9853515625",0,0,0,"0,593463623824585",#DIV/0!,#DIV/0!,-1,"0,87","0,92",0,"0,87","77,4201356037429",#DIV/0!,1,#DIV/0!,0,"0,5",#DIV/0!,"0,243124373397877","1,20377574174878","24,8302021026611",2,"4,644859790802",1,"9,289719581604","25,8447036743164","24,8302021026611","25,777416229248","993,555786132813","1013,70880126953","20,4154605865479","20,5738945007324","57,6927871704102","58,140510559082","300,595184326172","-0,438508301973343","12,832859992981","94,4816436767578","-2,02957010269165","-0,40107598900795",0,"-1,355140209198","7,355140209198",1,0,"0,159999996423721",111105,"1,50297592163086","0,000243124373397877","297,980202102661","298,994703674316","-0,0701613267475069","0,00333409679270791","3,14763111101019","33,3147370062583","12,7408425055259","25,3374528884887","3,24421349354078","0,0185681247853954","1,94385536926141","1,30035812427937","0,01160841337732","339,750222182462","3,5473095839057","60,7757060068965","1018,14634508227","-0,0182276758220175","2,36516118049622","-0,381502222716808",0,0,"1,68502324296725"
tr5t1b5,20,08:40:24,"4164,99971295707",0,"-5,41873910728402","0,00300543852379139","3822,01977205872",22,0,"2,16000986099243","4,28676080703735",0,0,0,"0,496120740525934",#DIV/0!,#DIV/0!,-1,"0,87","0,92",0,"0,87","9,68230099204884",#DIV/0!,1,#DIV/0!,0,"0,5",#DIV/0!,"0,0383824279318482","1,17485957665583","24,6360988616943",2,"4,644859790802",1,"9,289719581604","25,8669681549072","24,6360988616943","25,8163280487061","982,007751464844","985,588012695313","20,4693603515625","20,4943752288818","57,7730865478516","57,8436889648438","300,587554931641","-0,524566471576691","12,1790008544922","94,4885559082031","-2,02957010269165","-0,40107598900795","0,75","-1,355140209198","7,355140209198",1,0,"0,159999996423721",111105,"1,5029377746582","3,83824279318482E-05","297,786098861694","299,016968154907","-0,0839306335762745","0,0492423224126758","3,11134349627372","32,9282574632258","12,433882234344","25,2515335083008","3,22767426202586","0,00300446650958665","1,93648391961789","1,29119034240797","0,00187787887370787","361,137128914428","3,87790813486716","61,2157100053264","986,375474332941","-0,00336293805368942","2,12675094604492","-0,456372830271721",0,0,"2,01563836847439"
