Tratamento,Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
long_S_R1,11,10:26:23,"3530,50001020357",0,"3,50933799548896","0,149855028874975","80,4838212094101","3,68105718312566","2,23399808719524","29,8617534637451","2,42","2,20604358494282",1,"4,41208716988564","30,5606956481934","29,8617534637451","31,1707935333252","125,078308105469","123,160926818848","20,1397666931152","21,8818988800049","41,6875190734863","45,2935752868652","500,147521972656","1500,31396484375","0,161623045802116","91,0678405761719","7,64795684814453","0,463482409715652","0,666666686534882","-0,219565242528915","2,73739147186279",1,0,"0,159999996423721",111115,"2,06672529740767","0,00368105718312566","303,011753463745","303,710695648193","240,050229009459","0,68690785551306","4,22673536590344","46,4130404230687","24,5311415430638","30,2112245559692","4,31241404405887","0,144932447943279","1,9927372787082","2,31967676535067","0,0910125445784131","7,32948779885968","0,653485023929631","47,0749565508127","122,087147876707","0,0135314762063728"
long_S_R1,12,10:26:34,"3541,5000099577",0,"3,52105053155399","0,14984681271623","80,3043435932964","3,68778929572321","2,23814323607401","29,8809108734131","2,42","2,20604358494282",1,"4,41208716988564","30,5604877471924","29,8809108734131","31,1665534973145","125,038520812988","123,115394592285","20,1423797607422","21,8874683380127","41,6935424804688","45,3057746887207","500,210510253906","1500,08862304688","0,0556924566626549","91,0680999755859","7,64795684814453","0,463482409715652",1,"-0,219565242528915","2,73739147186279",1,0,"0,159999996423721",111115,"2,0669855795616","0,00368778929572321","303,030910873413","303,710487747192","240,014174322765","0,682387989412088","4,23139339089262","46,4640570301455","24,5765886921328","30,2206993103027","4,31475785540373","0,144924762689455","1,99325015481861","2,32150770058512","0,0910076956100849","7,31316399082812","0,652268904788358","47,0334773258248","122,038031876054","0,0135701344730899"
long_S_R1,13,10:26:45,"3552,50000971183",0,"3,62749013792621","0,150660457464858","79,4125696264725","3,7044195656964","2,23652106472211","29,8769035339355","2,42","2,20604358494282",1,"4,41208716988564","30,5640525817871","29,8769035339355","31,1736812591553","125,139686584473","123,163795471191","20,1412391662598","21,8943557739258","41,68310546875","45,3112525939941","500,161773681641","1500,005859375","0,208569213747978","91,0690231323242","7,64795684814453","0,463482409715652",1,"-0,219565242528915","2,73739147186279",1,0,"0,159999996423721",111115,"2,06678418876711","0,0037044195656964","303,026903533936","303,714052581787","240,000932135561","0,677162118536527","4,2304186571651","46,4528827877977","24,5585270138719","30,2204780578613","4,31470311056584","0,145685697671557","1,99389759244298","2,32080551812286","0,0914878151606597","7,23202514031053","0,644772023488408","47,0692293948383","122,053864615875","0,0139891650270084"
long_S_R1,14,10:26:56,"3563,50000946596",0,"3,44910464053205","0,151669839822489","81,5469446785154","3,72459598383246","2,23421006275713","29,8713703155518","2,42","2,20604358494282",1,"4,41208716988564","30,5658073425293","29,8713703155518","31,1708526611328","125,033561706543","123,142990112305","20,1427192687988","21,9052028656006","41,6815147399902","45,3286399841309","500,207733154297","1499,89074707031","0,097188264131546","91,068000793457","7,64795684814453","0,463482409715652",1,"-0,219565242528915","2,73739147186279",1,0,"0,159999996423721",111115,"2,06697410394338","0,00372459598383246","303,021370315552","303,715807342529","239,982514167223","0,670620240953629","4,22907309470248","46,4386289130696","24,533426047469","30,2185888290405","4,31423568037045","0,146629312848146","1,99486303194535","2,3193726484251","0,0920832318340298","7,42631722268704","0,662213452866019","47,1188910878314","122,087641229694","0,0133115837336888"
long_S_R1,15,10:27:07,"3574,50000922009",0,"3,39057298753806","0,152573977578927","82,3803384852849","3,73722095819867","2,22899003935103","29,8513927459717","2,42","2,20604358494282",1,"4,41208716988564","30,557523727417","29,8513927459717","31,1589412689209","124,998550415039","123,13557434082","20,1408424377441","21,9092769622803","41,6972579956055","45,3584175109863","500,212219238281","1500,20715332031","0,226047679781914","91,0677261352539","7,64795684814453","0,463482409715652",1,"-0,219565242528915","2,73739147186279",1,0,"0,159999996423721",111115,"2,0669926414805","0,00373722095819867","303,001392745972","303,707523727417","240,033139166091","0,667708725600331","4,2242180735734","46,3854567676323","24,476179805352","30,2044582366943","4,31074090925213","0,147474186404464","1,99522803422237","2,31551287502976","0,0926163742309423","7,50219010410745","0,66902143370257","47,1936111038719","122,098134834997","0,0131053093652418"
long_S_R1,16,10:28:34,"3661,50001020357",0,"3,41864772204896","0,156930758298778","69,134587669218","3,82571337956111","2,22050239629322","29,8374481201172","2,42","2,20604358494282",1,"4,41208716988564","30,5410766601563","29,8374481201172","31,1326885223389","110,47843170166","108,623550415039","20,1553268432617","21,9654445648193","41,7662467956543","45,5172080993652","500,236267089844","1500,03149414063","0,132135480642319","91,0671157836914","7,51424980163574","0,462989747524262","0,666666686534882","-0,219565242528915","2,73739147186279",1,0,"0,159999996423721",111115,"2,06709201276795","0,00382571337956111","302,987448120117","303,691076660156","240,005033697969","0,63611675901469","4,22083207971788","46,3485863518888","24,3831417870694","30,1892623901367","4,30698543310964","0,151540702210726","2,00032968342466","2,30665574968498","0,0951828891996949","6,29588749993044","0,636460393764171","47,4021655328262","107,577520668332","0,0150636772638215"
long_S_R1,17,10:28:45,"3672,5000099577",0,"3,09502884665079","0,157341632467435","72,6283995510275","3,83757281180538","2,22175017252534","29,8433532714844","2,42","2,20604358494282",1,"4,41208716988564","30,5836715698242","29,8433532714844","31,3465461730957","110,40843963623","108,708953857422","20,1513385772705","21,9674701690674","41,6563911437988","45,4106559753418","500,124328613281","1500,00659179688","0,322139650583267","91,0671768188477","7,51424980163574","0,462989747524262",1,"-0,219565242528915","2,73739147186279",1,0,"0,159999996423721",111115,"2,06662945707967","0,00383757281180538","302,993353271484","303,733671569824","240,001049323058","0,63544677924122","4,22226566267456","46,3642973260669","24,3968271569995","30,2135124206543","4,31297990150633","0,151923802279389","2,00051549014922","2,31246441135711","0,0954247117717678","6,61406330398334","0,668099516864856","47,3947250817184","107,761944249022","0,0136122303962916"
long_S_R1,18,10:28:56,"3683,50000971183",0,"2,66235202131637","0,158234417159042","77,0474323949061","3,86595492241697","2,22590974030929","29,8661441802979","2,42","2,20604358494282",1,"4,41208716988564","30,6291618347168","29,8661441802979","31,2650375366211","110,024620056152","108,533355712891","20,153003692627","21,9825115203857","41,5517616271973","45,3238639831543","500,1318359375","1499,99572753906","0,183454036712646","91,0675201416016","7,51424980163574","0,462989747524262",1,"-0,219565242528915","2,73739147186279",1,0,"0,159999996423721",111115,"2,06666047908058","0,00386595492241697","303,016144180298","303,779161834717","239,999311041847","0,627639143090605","4,22780255095501","46,4249223475194","24,4424108271337","30,2476530075073","4,32143158084827","0,152755999437927","2,00189281064572","2,31953877020255","0,095950036829202","7,0165186014818","0,709896343744535","47,3734805533107","107,718735536456","0,0117087228215014"
long_S_R1,19,10:29:07,"3694,50000946596",0,"3,12448500636366","0,158489739714888","72,2237993615783","3,87267247254279","2,22626024346255","29,8689517974854","2,42","2,20604358494282",1,"4,41208716988564","30,631706237793","29,8689517974854","31,2894649505615","110,090698242188","108,37548828125","20,1535339355469","21,9865074157715","41,5461502075195","45,3247947692871","500,051574707031","1500,125","0,199839740991592","91,0660705566406","7,51424980163574","0,462989747524262","0,666666686534882","-0,219565242528915","2,73739147186279",1,0,"0,159999996423721",111115,"2,06632882110344","0,00387267247254279","303,018951797485","303,781706237793","240,019994635135","0,625416350533534","4,2284850790813","46,4331562044428","24,4466487886713","30,2503290176392","4,32209465053888","0,152993935116976","2,00222483561875","2,31986981492013","0,0961002391614633","6,57713760853015","0,666421905054279","47,3762962387041","107,41946574675","0,0137802330542082"
long_S_R1,20,10:29:18,"3705,50000922009",0,"3,11959943061943","0,159170785009515","72,3598696904463","3,8918988978663","2,22806165953051","29,8797245025635","2,42","2,20604358494282",1,"4,41208716988564","30,6382350921631","29,8797245025635","31,2812919616699","110,044219970703","108,330696105957","20,1533832550049","21,9951763153076","41,5309295654297","45,3263931274414","500,123291015625","1500,02575683594","0,361464142799377","91,0673828125","7,51424980163574","0,462989747524262",1,"-0,219565242528915","2,73739147186279",1,0,"0,159999996423721",111115,"2,06662516948605","0,0038918988978663","303,029724502563","303,788235092163","240,00411572924","0,618119759023636","4,23110480106506","46,4612539681364","24,4660776528288","30,2589797973633","4,32423877285172","0,153628472794687","2,00304314153455","2,32119563131716","0,0965008170082397","6,58962395336249","0,667953519099258","47,3731634886701","107,376168448371","0,0137633234619426"
long_S_R1,21,10:30:37,"3784,50001020357",0,"2,52388508593014","0,162310409438498","60,3273950408822","3,96780457114341","2,22898342130219","29,89772605896","2,42","2,20604358494282",1,"4,41208716988564","30,6475048065186","29,89772605896","31,2848167419434","90,3953475952148","89,0030670166016","20,1555690765381","22,0333995819092","41,5129776000977","45,3806114196777","500,072845458984","1499,98303222656","0,0393127165734768","91,0663909912109","7,35733509063721","0,459423959255219","0,666666686534882","-0,219565242528915","2,73739147186279",1,0,"0,159999996423721",111115,"2,06641671677266","0,00396780457114341","303,04772605896","303,797504806519","239,997279791893","0,590528633286518","4,23548560249391","46,5098655650326","24,4764659831234","30,2726154327393","4,32762028880943","0,156551253493862","2,00650218119173","2,3211181076177","0,0983461567456679","5,49379814427422","0,677812541332193","47,4395813308103","88,2308146256557","0,0135703214700668"
long_S_R1,22,10:30:48,"3795,5000099577",0,"2,35255151299904","0,163416995883134","62,3558252787528","3,98149226524058","2,22212072732685","29,8731422424316","2,42","2,20604358494282",1,"4,41208716988564","30,6468410491943","29,8731422424316","31,2815017700195","90,4772872924805","89,1669464111328","20,158763885498","22,0431518554688","41,5209922790527","45,4022598266602","500,046752929688","1499,84240722656","0,137595057487488","91,0660705566406","7,35733509063721","0,459423959255219","0,666666686534882","-0,219565242528915","2,73739147186279",1,0,"0,159999996423721",111115,"2,06630889640367","0,00398149226524058","303,023142242432","303,796841049194","239,974779792396","0,587835840661495","4,22950394948771","46,444344459302","24,4011926038332","30,259991645813","4,32448962313151","0,157580455564089","2,00738322216086","2,31710640097065","0,0989960424123816","5,67849998445246","0,699315472700403","47,5415062526666","88,4471182617196","0,0126452782931845"
long_S_R1,23,10:30:59,"3806,50000971183",0,"1,8773762110309","0,163962888756808","66,8609861273822","3,99059904844434","2,22007326195318","29,8666019439697","2,42","2,20604358494282",1,"4,41208716988564","30,647216796875","29,8666019439697","31,2799949645996","89,9729766845703","88,8930892944336","20,1600475311279","22,04811668396","41,5228500366211","45,4116287231445","500,210784912109","1499,61254882813","0,275176465511322","91,0663070678711","7,35733509063721","0,459423959255219","0,666666686534882","-0,219565242528915","2,73739147186279",1,0,"0,159999996423721",111115,"2,06698671451285","0,00399059904844434","303,01660194397","303,797216796875","239,938002449468","0,585004657597012","4,22791382616293","46,4267626775718","24,3786459936118","30,2569093704224","4,32372552682774","0,158087990417638","2,00784056420975","2,31588496261799","0,099316539461746","6,08878309353686","0,752150551387902","47,576727044051","88,3186541603795","0,0101133125725642"
long_S_R1,24,10:31:10,"3817,50000946596",0,"2,15678930899594","0,16408488685308","63,9441779064983","3,99608170207307","2,22151618067482","29,8745670318604","2,42","2,20604358494282",1,"4,41208716988564","30,6523113250732","29,8745670318604","31,2847881317139","89,9287872314453","88,7137908935547","20,1626567840576","22,053373336792","41,5164413452148","45,4095687866211","500,193969726563","1499,76171875","0,0720741376280785","91,0669860839844","7,35733509063721","0,459423959255219","0,666666686534882","-0,219565242528915","2,73739147186279",1,0,"0,159999996423721",111115,"2,06691723027505","0,00399608170207307","303,02456703186","303,802311325073","239,961869636434","0,582991464403801","4,22985042344137","46,4476821440043","24,3943088072123","30,2634391784668","4,32534440614179","0,158201399571621","2,00833424276655","2,31701016337524","0,0993881562938086","5,8232035595629","0,720791855047917","47,5673593354997","88,0538616004487","0,0116511383154889"
long_S_R1,25,10:31:21,"3828,50000922009",0,"2,06525305282317","0,165224250348701","65,0448498311417","4,02426491578424","2,22224711521028","29,8822460174561","2,42","2,20604358494282",1,"4,41208716988564","30,6519508361816","29,8822460174561","31,2840766906738","89,9510726928711","88,7790298461914","20,162073135376","22,0660934448242","41,5156517028809","45,4362144470215","500,195587158203","1499,80505371094","0,267543107271194","91,0660095214844","7,35733509063721","0,459423959255219",1,"-0,219565242528915","2,73739147186279",1,0,"0,159999996423721",111115,"2,06692391387687","0,00402426491578424","303,032246017456","303,801950836182","239,968803230029","0,572360658520296","4,23171819095861","46,4686902741714","24,4025968293472","30,2670984268188","4,32625184311174","0,159260257428619","2,00947107574833","2,31678076736341","0,100056840911082","5,92337491404627","0,732660065601428","47,5853922159354","88,1471086003146","0,0111490754608141"
long_S_R1,26,10:32:44,"3911,50001020357",0,"1,82930501765146","0,168529685469288","48,8959822078206","4,10149302057296","2,22194377396636","29,8996505737305","2,42","2,20604358494282",1,"4,41208716988564","30,6562480926514","29,8996505737305","31,286018371582","70,2283020019531","69,2057876586914","20,1753902435303","22,1161327362061","41,5325012207031","45,5276641845703","500,122863769531","1499,70239257813","0,25117039680481","91,0652160644531","7,09772968292236","0,456881552934647","0,666666686534882","-0,219565242528915","2,73739147186279",1,0,"0,159999996423721",111115,"2,06662340400633","0,00410149302057296","303,04965057373","303,806248092651","239,952377449146","0,54380704910629","4,23595418009909","46,5156111538901","24,3994784176841","30,2779493331909","4,32894367536919","0,162329154889837","2,01401040613273","2,31493326923646","0,101995157712111","4,45272318443884","0,706530246414728","47,6801084359049","68,6460612347247","0,0127059673978564"
long_S_R1,27,10:32:55,"3922,5000099577",0,"1,54722857894981","0,168845038709154","51,8069692794336","4,10965324743009","2,22234116804702","29,9052276611328","2,42","2,20604358494282",1,"4,41208716988564","30,6562671661377","29,9052276611328","31,2817554473877","70,2727813720703","69,386344909668","20,1824722290039","22,1265754699707","41,5472412109375","45,5493354797363","500,246276855469","1499,52478027344","0,306852161884308","91,0656585693359","7,09772968292236","0,456881552934647","0,666666686534882","-0,219565242528915","2,73739147186279",1,0,"0,159999996423721",111115,"2,06713337543582","0,00410965324743009","303,055227661133","303,806267166138","239,923959481032","0,540175797181644","4,23731233510402","46,5302991453995","24,4037236754288","30,2807474136353","4,32963804418739","0,16262170996327","2,014971167057","2,31466687713039","0,102179955952047","4,71783577591298","0,746645025716221","47,6904443180806","68,9129275674543","0,0107074276186457"
